Company Name,Industry,Symbol,Weightage
ACC Ltd.,Construction Materials,ACC,0.0075
Adani Energy Solutions Ltd.,Power,ADANIENSOL,0.0186
Adani Green Energy Ltd.,Power,ADANIGREEN,0.0462
Adani Power Ltd.,Power,ADANIPOWER,0.0395
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,0.0197
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,0.0071
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,0.0214
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,0.0451
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,0.0054
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,0.0055
Grasim Industries Ltd.,Construction Materials,GRASIM,0.0258
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,0.0237
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,0.0114
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,0.0367
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,0.0163
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,0.0351
NTPC Ltd.,Power,NTPC,0.0562
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,0.0560
Pidilite Industries Ltd.,Chemicals,PIDILITIND,0.0247
PI Industries Ltd.,Chemicals,PIIND,0.0091
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,0.3132
Steel Authority of India Ltd.,Metals & Mining,SAIL,0.0111
Shree Cement Ltd.,Construction Materials,SHREECEM,0.0153
SRF Ltd.,Chemicals,SRF,0.0110
Tata Chemicals Ltd.,Chemicals,TATACHEM,0.0044
Tata Power Co. Ltd.,Power,TATAPOWER,0.0224
Tata Steel Ltd.,Metals & Mining,TATASTEEL,0.0336
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,0.0455
UPL Ltd.,Chemicals,UPL,0.0062
Vedanta Ltd.,Metals & Mining,VEDL,0.0447
